bigram,log_odds_ratio
decided wait,-0.3011
fully cover,-0.3011
entire back,-0.3011
wifi ssid,-0.3011
come conclusion,-0.3011
used trash,-0.3011
nest doorbell,-0.3011
caught fire,-0.3011
inches less,-0.3011
ranger rick,-0.3011
bottle leaks,-0.3011
get super,-0.3011
activate windows,-0.3011
dont waste,-0.3011
books etc,-0.3011
asked specific,-0.3011
lock place,-0.3011
using second,-0.3011
wrong said,-0.3011
straight box,-0.3011
something hate,-0.3011
doorbell signal,-0.3011
wine glass,-0.3011
constant companion,-0.3011
play sound,-0.3011
experiencing problems,-0.3011
back magazine,-0.3011
pulling old,-0.3011
steer clear,-0.3011
motion light,-0.3011
daughter watched,-0.3011
issues good,-0.3011
experienced issues,-0.3011
books looking,-0.3011
would bring,-0.3011
thin tear,-0.3011
nest cameras,-0.3011
used think,-0.3011
could actually,-0.3011
safe eat,-0.3011
open see,-0.3011
enough drive,-0.3011
turn spigot,-0.3011
two got,-0.3011
device need,-0.3011
labels take,-0.3011
replaced batteries,-0.3011
purchased directly,-0.3011
pops broken,-0.3011
son tried,-0.3011
buy directly,-0.3011
right probably,-0.3011
must changed,-0.3011
part able,-0.3011
however opened,-0.3011
devices think,-0.3011
got food,-0.3011
party seller,-0.3011
motion think,-0.3011
something great,-0.3011
bought large,-0.3011
worth risk,-0.3011
